category,rank,rate,total_reviews,excellent,very_good,average,poor,terrible
things,1,5.0,15026,14334,535,95,40,22
things,2,5.0,6665,6513,127,14,8,3
things,3,5.0,3180,3086,61,19,7,7
things,4,5.0,3403,3271,89,24,12,7
things,5,5.0,2629,2585,29,7,1,7
things,6,5.0,2102,2087,13,0,0,2
things,7,5.0,6367,6232,109,17,5,4
things,8,5.0,2248,2202,32,4,0,10
things,9,5.0,2331,2271,52,4,3,1
things,10,5.0,3078,2884,130,20,20,24
things,11,5.0,2600,2535,52,7,3,3
things,12,5.0,1870,1822,38,3,4,3
things,13,5.0,2997,2927,54,7,4,5
things,14,5.0,2789,2686,74,21,3,5
things,15,5.0,4475,4242,126,42,29,36
things,16,5.0,1819,1771,39,7,0,2
things,17,5.0,2182,2150,29,1,0,2
things,18,5.0,2460,2358,85,13,1,3
things,19,5.0,2189,2138,42,4,3,2
things,20,5.0,9525,8598,628,133,42,124
things,21,5.0,1228,1202,24,1,1,0
things,22,5.0,829,829,0,0,0,0
things,23,5.0,619,617,2,0,0,0
things,24,5.0,1316,1300,10,3,1,2
things,25,5.0,649,646,2,0,0,1
